budget,production,country_kaggle,director,genre_kaggle,gross,name,rating,released,runtime,score_imdb,star_kaggle,votes_imdb,writer_kaggle,year,genres_omdb,writers_omdb,actors_omdb,plot,language_omdb,country_omdb,awards,poster,score_metacritic,type
0.0,Universal Pictures,USA,Howard Franklin,Crime,3067917.0,The Public Eye,R,1992-10-16,99,6.5,Joe Pesci,2773,Howard Franklin,1992,,,,,,,,,,
18000000.0,Orion Pictures,USA,Howard Deutch,Drama,6375979.0,Article 99,R,1992-03-13,100,6.1,Ray Liotta,2585,Ron Cutler,1992,,,,,,,,,,
0.0,Davis Entertainment,USA,Mark Frost,Drama,422503.0,Storyville,R,1992-09-30,113,5.8,James Spader,963,Frank Galbally,1992,,,,,,,,,,
0.0,Paramount Pictures,USA,Dennis Dugan,Comedy,918239.0,Brain Donors,PG,1992-04-17,100,7.1,John Turturro,3491,Pat Proft,1992,,,,,,,,,,
0.0,"Australian Film Commission, The",Australia,Mark Joffe,Comedy,101307.0,The Efficiency Expert,PG,1992-11-06,100,6.3,Anthony Hopkins,1456,Max Dann,1992,,,,,,,,,,
3000000.0,American Playhouse,Italy,Hal Hartley,Crime,141554.0,Simple Men,R,1992-11-06,105,7.2,Robert John Burke,3563,Hal Hartley,1992,,,,,,,,,,
0.0,Interscope Communications,USA,Francis Veber,Comedy,1659542.0,Out on a Limb,PG,1992-09-04,100,5.2,Matthew Broderick,1368,Daniel Goldin,1992,,,,,,,,,,
0.0,Hollywood Pictures,USA,Charlie Peters,Comedy,4030793.0,Passed Away,PG-13,1992-04-24,96,5.9,Bob Hoskins,1053,Charlie Peters,1992,,,,,,,,,,
0.0,Compagnie Eric Rohmer (CER),France,�ric Rohmer,Drama,213687.0,A Tale of Winter,Not specified,1992-01-29,114,7.6,Charlotte V�ry,2948,�ric Rohmer,1992,,,,,,,,,,
0.0,SVT Drama,Sweden,Bille August,Biography,1253106.0,The Best Intentions,NOT RATED,1992-07-10,100,7.9,Samuel Fr�ler,2326,Ingmar Bergman,1992,,,,,,,,,,
800000.0,Zeta Entertainment,USA,Tamra Davis,Crime,114516.0,Guncrazy,R,1993-09-09,97,5.6,Drew Barrymore,1768,Matthew Bright,1992,,,,,,,,,,
18000000.0,Paramount Pictures,USA,Christopher Crowe,Drama,11124511.0,Whispers in the Dark,R,1992-08-07,103,5.6,Annabella Sciorra,1674,Christopher Crowe,1992,,,,,,,,,,
0.0,Memfis Film,Sweden,Colin Nutley,Comedy,288633.0,House of Angels,R,1993-08-06,127,6.4,Helena Bergstr�m,3564,Colin Nutley,1992,,,,,,,,,,
0.0,Kaijyu Theater,Japan,Shin'ya Tsukamoto,Horror,2550.0,Tetsuo II: Body Hammer,R,1997-08-15,83,6.4,Tomor� Taguchi,3259,Shin'ya Tsukamoto,1992,,,,,,,,,,
400000.0,Ang Lee Productions,Taiwan,Ang Lee,Comedy,152322.0,Pushing Hands,NOT RATED,1996-01-20,105,7.3,Bozhao Wang,2826,Ang Lee,1992,,,,,,,,,,
0.0,Castle Rock Entertainment,USA,Peter Yates,Action,2791515.0,Year of the Comet,PG-13,1992-04-24,91,5.8,Penelope Ann Miller,1207,William Goldman,1992,,,,,,,,,,
