name,year,budget,gross,adjusted_budget,adjusted_gross
Lucy,2014,40000000,126663600,43729893,138474643
Entrevista con unos vampiros,2014,1600000,3333000,1749196,3643793
Good Kill,2014,0,316842,0,346387
Ex Machina,2014,15000000,25442958,16398710,27815446
Goodnight Mommy,2014,0,1168902,0,1277899
Dear White People,2014,0,4404154,0,4814830
Chef,2014,11000000,30640336,12025721,33497466
"Men, Women & Children",2014,16000000,461162,17491957,504164
Song of the Sea,2014,0,857522,0,937484
Predestination,2014,0,68372,0,74748
Guardians of the Galaxy,2014,170000000,333176600,185852046,364244428
Mapa a las estrellas,2014,15000000,347648,16398710,380065
Deliver Us from Evil,2014,30000000,30577122,32797420,33428357
Maleficent,2014,180000000,241410378,196784519,263921251
Magic in the Moonlight,2014,16800000,10506939,18366555,11486683
Promesa de Vida,2014,22500000,4190530,24598065,4581286
The Disappearance of Eleanor Rigby: Them,2014,3000000,585640,3279742,640249
Escobar,2014,17000000,106869,18585205,116834
The Drop,2014,12600000,10724389,13774916,11724410
Earth to Echo,2014,13000000,38916903,14212215,42545800
'71,2014,0,1268760,0,1387068
Inherent Vice,2014,20000000,8110975,21864947,8867302
A Million Ways to Die in the West,2014,40000000,43139300,43729893,47161925
The Rover,2014,8500000,1109199,9292602,1212629
Barefoot,2014,6000000,11766,6559484,12863
Addicted,2014,5000000,17382982,5466237,19003899
About Last Night,2014,12500000,48637684,13665592,53173018
Vampire Academy,2014,30000000,7791146,32797420,8517650
A Walk Among the Tombstones,2014,28000000,26307600,30610925,28760713
Walk of Shame,2014,0,39751,0,43458
A Most Wanted Man,2014,15000000,17237244,16398710,18844571
A Most Violent Year,2014,20000000,5740310,21864947,6275579
A Long Way Down,2014,0,13093,0,14314
Wish I Was Here,2014,6000000,3588432,6559484,3923044
The Raid 2,2014,4500000,2625803,4919613,2870652
The Quiet Ones,2014,200000,8496112,218649,9288352
A Little Chaos,2014,0,551609,0,603045
When the Game Stands Tall,2014,15000000,30127963,16398710,32937315
A Haunted House 2,2014,4000000,17329486,4372989,18945414
While We're Young,2014,10000000,7574066,10932473,8280327
Whiplash,2014,3300000,13092000,3607716,14312794
Wild,2014,15000000,37880356,16398710,41412598
A Brilliant Young Mind,2014,0,139511,0,152520
Unbroken,2014,65000000,115637895,71061076,126420820
Una buena mentira,2014,20000000,2716989,21864947,2970341
Una Se�al En La Tormenta,2014,0,33518,0,36643
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014,28000000,66954149,30610925,73197445
The Theory of Everything,2014,15000000,35893537,16398710,39240514
The Two Faces of January,2014,0,506067,0,553256
"As Above, So Below",2014,5000000,21197315,5466237,23173908
The Signal,2014,4000000,600896,4372989,656928
The Woman in Black 2: Angel of Death,2014,15000000,26496583,16398710,28967319
Annie,2014,65000000,85911262,71061076,93922258
Annabelle,2014,6500000,84273813,7106108,92132121
Think Like a Man Too,2014,24000000,65182182,26237936,71260246
And So It Goes,2014,18000000,15155772,19678452,16569007
This Is Where I Leave You,2014,19800000,34290142,21646297,37487606
Top Five,2014,12000000,25277561,13118968,27634626
American Sniper,2014,58800000,350126372,64282943,382774721
Transcendence,2014,100000000,23022309,109324733,25169078
Transformers: Age of Extinction,2014,210000000,245439076,229581939,268325615
Trash,2014,0,10230,0,11184
Tusk,2014,3000000,1821983,3279742,1991878
"Two Days, One Night",2014,0,1436243,0,1570169
Two Night Stand,2014,0,15600,0,17055
Winter's Tale,2014,60000000,22451,65594840,24544
Unfriended,2014,1000000,31537320,1093247,34478091
99 Homes,2014,8000000,1410915,8745979,1542479
X-Men: Days of Future Past,2014,200000000,233921534,218649466,255734093
13 Sins,2014,4000000,9134,4372989,9986
Zombeavers,2014,0,8163,0,8924
300: Rise of an Empire,2014,110000000,106580051,120257206,116518356
3 Days to Kill,2014,28000000,30697999,30610925,33560505
12 horas para sobrevivir,2014,9000000,71962800,9839226,78673139
22 Jump Street,2014,50000000,191719337,54662367,209596653
5 to 7,2014,0,116400,0,127254
Runner Runner,2013,30000000,19316646,33329456,21460443
All Is Lost,2013,9000000,6263670,9998837,6958824
El expreso del miedo,2013,39200000,4563650,43550489,5070132
Despicable Me 2,2013,76000000,368061265,84434621,408909387
Delivery Man,2013,26000000,30664106,28885528,34067265
Snitch,2013,15000000,42930462,16664728,47694964
Thor: The Dark World,2013,170000000,206362140,188866915,229264593
This Is the End,2013,32000000,101470202,35551419,112731553
Anchorman 2: The Legend Continues,2013,50000000,127352707,55549093,141486547
El gran Gatsby,2013,105000000,144840419,116653095,160915077
Dead Man Down,2013,30000000,10880926,33329456,12088511
Jack the Giant Slayer,2013,195000000,65187603,216641462,72422244
Star Trek Into Darkness,2013,190000000,228778661,211086552,254168941
I'm So Excited!,2013,0,1367846,0,1519652
Dark Skies,2013,3500000,17411930,3888436,19344338
Stoker,2013,12000000,1702277,13331782,1891199
The Zero Theorem,2013,8500000,219438,9443346,243792
Side Effects,2013,30000000,32172757,33329456,35743349
Amores infieles,2013,28000000,1019038,31107492,1132133
Diana,2013,15000000,331634,16664728,368439
2 Guns,2013,61000000,75612460,67769893,84004071
Drinking Buddies,2013,0,342936,0,380996
Safe Haven,2013,28000000,71349120,31107492,79267578
American Hustle,2013,40000000,150117807,44439274,166778160
Jimi: All Is by My Side,2013,0,323032,0,358883
Jobs,2013,12000000,16117443,13331782,17906187
Romeo & Juliet,2013,0,1161089,0,1289949
Saving Mr. Banks,2013,35000000,83301580,38884365,92546544
Scary Movie 5,2013,20000000,32015787,22219637,35568958
Se levanta el viento,2013,30000000,5209580,33329456,5787749
Short Term 12,2013,0,1010414,0,1122552
Trance,2013,20000000,2319187,22219637,2576575
Don Jon,2013,3000000,24477704,3332946,27194285
Tracks,2013,0,508806,0,565274
Dom Hemingway,2013,0,518134,0,575637
Ida,2013,0,3827060,0,4251794
Dallas Buyers Club,2013,5000000,27298285,5554909,30327899
Identity Thief,2013,35000000,134506920,38884365,149434747
Turbo,2013,135000000,83028128,149982550,92242744
Inside Llewyn Davis,2013,11000000,13235319,12220800,14704199
Iron Man 3,2013,200000000,409013994,222196371,454407126
Anna,2013,7000000,4288,7776873,4764
The World's End,2013,20000000,26004851,22219637,28890918
The Conjuring,2013,20000000,137400141,22219637,152649064
Charlie Countryman,2013,0,7973,0,8858
The Croods,2013,135000000,187168425,149982550,207940724
Instructions Not Included,2013,5000000,44467206,5554909,49402259
The To Do List,2013,1500000,3447339,1666473,3829931
Carrie,2013,30000000,35266619,33329456,39180574
Insidious: Chapter 2,2013,5000000,83586447,5554909,92863026
The Double,2013,0,200268,0,222494
Captain Phillips,2013,55000000,107100855,61104002,118987107
August: Osage County,2013,25000000,37738503,27774546,41926792
The East,2013,6500000,2268296,7221382,2520036
Austenland,2013,0,2151202,0,2389946
The Tale of the Princess Kaguya,2013,0,1506975,0,1674222
The Family,2013,30000000,36918811,33329456,41016129
The Fifth Estate,2013,28000000,3254172,31107492,3615326
CBGB,2013,5000000,40040,5554909,44484
The Spectacular Now,2013,2500000,6851969,2777455,7612413
Broken City,2013,35000000,19701164,38884365,21887636
The Grandmaster,2013,38600000,6594959,42883900,7326880
12 Years a Slave,2013,20000000,56671993,22219637,62961556
The Canyons,2013,250000,49494,277745,54987
The Call,2013,13000000,51872378,14442764,57629271
The 100 Year-Old Man Who Climbed Out the Window and Disappeared,2013,0,1083762,0,1204040
Joe,2013,4000000,373375,4443927,414813
S�lo Dios perdona,2013,4800000,778565,5332713,864972
S�lo los amantes sobreviven,2013,7000000,1879534,7776873,2088128
In Secret,2013,0,420266,0,466908
The Wolverine,2013,120000000,132556852,133317823,147268257
Temptation: Confessions of a Marriage Counselor,2013,0,51975354,0,57743675
The Wolf of Wall Street,2013,100000000,116900694,111098186,129874550
Texas Chainsaw 3D,2013,20000000,34341945,22219637,38153278
In a World...,2013,0,2962542,0,3291330
The Book Thief,2013,19000000,21488481,21108655,23873312
The Way Way Back,2013,5000000,21501098,5554909,23887330
The Art of the Steal,2013,0,61446,0,68265
Cloudy with a Chance of Meatballs 2,2013,78000000,119793567,86656585,133088479
The Best Man Holiday,2013,17000000,70525195,18886692,78352212
The Best Offer,2013,0,85433,0,94915
The Big Wedding,2013,35000000,21784432,38884365,24202109
The Bling Ring,2013,8000000,5841046,8887855,6489296
El pasado,2013,11000000,1330596,12220800,1478268
Elysium,2013,115000000,93050117,127762913,103376992
21 & Over,2013,13000000,25682380,14442764,28532658
Redemption,2013,20000000,34956,22219637,38835
Welcome to the Punch,2013,8500000,6787,9443346,7540
Gravity,2013,100000000,274092705,111098186,304512022
We're the Millers,2013,37000000,150394119,41106329,167085137
42,2013,40000000,95001343,44439274,105544768
We Are What We Are,2013,0,76633,0,85138
Horns,2013,0,164480,0,182734
Warm Bodies,2013,35000000,66380662,38884365,73747711
Gimme Shelter,2013,3300000,1359563,3666240,1510450
Monsters University,2013,200000000,268492764,222196371,298290589
Walking with the Enemy,2013,0,357000,0,396621
Knights of Badassdom,2013,0,86796,0,96429
Movie 43,2013,6000000,8828771,6665891,9808604
Gangster Squad,2013,60000000,46000903,66658911,51106169
G.I. Joe: Retaliation,2013,130000000,122523060,144427641,136120896
Killing Season,2013,0,27713,0,30789
Fruitvale Station,2013,900000,16097842,999884,17884410
Nebraska,2013,12000000,17654912,13331782,19614287
How I Live Now,2013,0,60213,0,66896
47 Ronin,2013,175000000,38362475,194421825,42620014
Grown Ups 2,2013,80000000,133668525,88878548,148503306
Grudge Match,2013,40000000,29807260,44439274,33115325
Labor Day,2013,18000000,13362308,19997673,14845282
Her,2013,23000000,25568251,25552583,28405863
Life of Crime,2013,12000000,261695,13331782,290738
Last Vegas,2013,28000000,63914167,31107492,71007480
Locke,2013,0,1361423,0,1512516
Lone Survivor,2013,40000000,125095601,44439274,138978943
White House Down,2013,150000000,73103784,166647278,81216978
A Good Day to Die Hard,2013,92000000,67349198,102210331,74823737
World War Z,2013,190000000,202359711,211086552,224817967
Lovelace,2013,10000000,356582,11109819,396156
A Haunted House,2013,2500000,40041683,2777455,44485583
What If,2013,11000000,3452117,12220800,3835239
Machete Kills,2013,20000000,8008161,22219637,8896922
Hansel y Gretel: Cazadores de brujas,2013,50000000,55703475,55549093,61885550
Mam�,2013,20000000,71628180,22219637,79577608
Man of Steel,2013,225000000,291045518,249970917,323346289
Man of Tai Chi,2013,25000000,100144,27774546,111258
Mandela: Long Walk to Freedom,2013,35000000,8323085,38884365,9246796
La noche de la expiaci�n,2013,3000000,64473115,3332946,71628461
Homefront,2013,22000000,19783777,24441601,21979417
Kill Your Darlings,2013,0,1029949,0,1144255
About Time,2013,12000000,15322921,13331782,17023487
V/H/S/2,2013,0,21833,0,24256
Escape Plan,2013,50000000,25132228,55549093,27921449
Fading Gigolo,2013,0,3763973,0,4181706
Planes,2013,50000000,90288712,55549093,100309121
Ain't Them Bodies Saints,2013,0,387606,0,430623
Under the Skin,2013,13300000,2605039,14776059,2894151
I Give It a Year,2013,0,32514,0,36122
Evil Dead,2013,17000000,54239856,18886692,60259496
Europa Report,2013,0,125687,0,139636
Prisoners,2013,46000000,61002302,51105165,67772451
Journey to the West,2013,0,18058,0,20062
Epic,2013,100000000,107518682,111098186,119451305
Afternoon Delight,2013,0,174496,0,193862
I Spit on Your Grave 2,2013,0,441,0,490
Un pasado imborrable,2013,18000000,4435083,19997673,4927297
R.I.P.D.,2013,130000000,33618855,144427641,37349938
Enough Said,2013,8000000,17536788,8887855,19483053
RED 2,2013,84000000,53262560,93322476,59173738
Enemigos id�nticos,2013,0,1007088,0,1118856
Ender's Game,2013,110000000,61737191,122208004,68588899
Lee Daniels' The Butler,2013,30000000,116632095,33329456,129576141
Philomena,2013,12000000,37707719,13331782,41892592
The Smurfs 2,2013,105000000,71017784,116653095,78899469
Now You See Me,2013,75000000,117723989,83323639,130789216
Oblivion,2013,120000000,89021735,133317823,98901532
Oculus,2013,5000000,27695246,5554909,30768916
Olympus Has Fallen,2013,70000000,98925640,77768730,109904591
Out of the Furnace,2013,22000000,11326836,24441601,12583909
Oz the Great and Powerful,2013,215000000,234911825,238861099,260982775
Pacific Rim,2013,190000000,101802906,211086552,113101181
Pain & Gain,2013,26000000,49875291,28885528,55410543
Palo Alto,2013,0,750100,0,833347
Filth,2013,5000000,34321,5554909,38130
Percy Jackson: Sea of Monsters,2013,90000000,68559554,99988367,76168420
Kick-Ass 2,2013,28000000,28795985,31107492,31991817
Paranoia,2013,35000000,7376027,38884365,8194632
Adore,2013,16000000,317125,17775710,352320
Adult World,2013,0,16740,0,18598
Parker,2013,35000000,17609982,38884365,19564370
Parkland,2013,10000000,652355,11109819,724755
Pawn,2013,0,2137,0,2374
After Earth,2013,130000000,60522097,144427641,67238952
Fast & Furious 6,2013,160000000,238679850,177757097,265168983
The Green Inferno,2013,6000000,7192291,6665891,7990505
Riddick,2013,38000000,42025135,42217310,46689162
The Internship,2013,58000000,44672764,64436948,49630630
Before Midnight,2013,3000000,8114627,3332946,9015203
The Last Stand,2013,45000000,12050299,49994183,13387664
Blue Is the Warmest Color,2013,0,2199675,0,2443799
Blue Jasmine,2013,18000000,33405481,19997673,37112883
Belle,2013,10900000,10726630,12109702,11917091
The Last Days on Mars,2013,0,23838,0,26484
The Secret Life of Walter Mitty,2013,90000000,58236838,99988367,64700070
The Mortal Instruments: City of Bones,2013,60000000,31165421,66658911,34624217
Bad Grandpa,2013,15000000,102003019,16664728,113323503
The Hangover Part III,2013,103000000,112200072,114431131,124652244
The Hunger Games: Catching Fire,2013,130000000,424668047,144427641,471798495
The Sacrament,2013,4000000,9039,4443927,10042
Breathe In,2013,0,15324,0,17025
The Lunchbox,2013,1000000,4231500,1110982,4701120
The Kings of Summer,2013,0,1290312,0,1433513
Begin Again,2013,8000000,16170632,8887855,17965279
Blue Ruin,2013,1066167,258113,1184492,286759
The Invisible Woman,2013,0,1234254,0,1371234
The Immigrant,2013,16000000,2013456,17775710,2236913
The Hobbit: The Desolation of Smaug,2013,225000000,258366855,249970917,287040888
The Lone Ranger,2013,215000000,89302115,238861099,99213029
Blood Ties,2013,25500000,41229,28330037,45805
The Heat,2013,43000000,159582188,47772220,177292915
The Incredible Burt Wonderstone,2013,30000000,22525921,33329456,25025889
The Place Beyond the Pines,2012,15000000,21383298,16908826,24104431
The Campaign,2012,95000000,86907746,107089231,97967197
The Perks of Being a Wallflower,2012,13000000,17738570,14654316,19995893
The Hunger Games,2012,78000000,408010692,87925895,459932120
The Possession,2012,14000000,49130154,15781571,55382215
Lockout,2012,20000000,14326864,22545101,16150030
Trouble with the Curve,2012,60000000,35763137,67635304,40314177
The Cabin in the Woods,2012,30000000,42073277,33817652,47427315
The Magic of Belle Isle,2012,0,100910,0,113751
People Like Us,2012,16000000,12412386,18036081,13991925
"Farewell, My Queen",2012,0,72100,0,81275
House at the End of the Street,2012,6900000,31611916,7778060,35634693
Chronicle,2012,12000000,64575175,13527061,72792693
Resident Evil: Retribution,2012,65000000,42345531,73271579,47734214
Stuck in Love,2012,0,78950,0,88997
John Carter,2012,250000000,73078100,281813767,82377659
Aftershock,2012,2000000,40179,2254510,45292
Piranha 3DD,2012,5000000,376512,5636275,424425
Rise of the Guardians,2012,145000000,103412758,163451985,116572556
Moonrise Kingdom,2012,16000000,45512466,18036081,51304158
Zero Dark Thirty,2012,40000000,95720716,45090203,107901662
ParaNorman,2012,60000000,56003051,67635304,63129723
If I Were You,2012,0,9222,0,10396
The Hunt,2012,3800000,687185,4283569,774633
Rock of Ages,2012,75000000,38518613,84544130,43420302
Madagascar 3: Europe's Most Wanted,2012,145000000,216391482,163451985,243928395
Brave,2012,185000000,237283207,208542188,267478698
Think Like a Man,2012,12000000,91547205,13527061,103197051
Universal Soldier: Day of Reckoning,2012,11500000,5460,12963433,6155
Lincoln,2012,65000000,182207973,73271579,205394861
Ruby Sparks,2012,8000000,2540106,9018041,2863347
The Paperboy,2012,12500000,692640,14090688,780782
Stand Up Guys,2012,15000000,3301046,16908826,3721121
This Is 40,2012,35000000,67544505,39453927,76139886
Paranormal Activity 4,2012,5000000,53921300,5636275,60783059
Parental Guidance,2012,25000000,77267296,28181377,87099951
The Pirates! Band of Misfits,2012,55000000,31051126,61999029,35002539
Dark Shadows,2012,150000000,79727149,169088260,89872833
Robot & Frank,2012,2500000,3325638,2818138,3748842
Kon-Tiki,2012,16600000,1517410,18712434,1710508
Chasing Mavericks,2012,20000000,6002756,22545101,6766637
The Company You Keep,2012,2000000,5132442,2254510,5785571
Step Up Revolution,2012,33000000,35074677,37199417,39538107
