name,year,budget,gross,adjusted_budget,adjusted_gross
John Wick,2014,20000000,43037835,21864947,47050998
Birdman or (The Unexpected Virtue of Ignorance),2014,18000000,42340598,19678452,46288746
"I, Frankenstein",2014,65000000,19075290,71061076,20854010
Jersey Boys,2014,40000000,47034272,43729893,51420092
Sabotage,2014,35000000,10508518,38263657,11488409
If I Stay,2014,11000000,50474843,12025721,55181487
Big Hero 6,2014,165000000,222527828,180385810,243277954
Black Sea,2014,0,1171559,0,1280804
Cake,2014,7000000,1873547,7652731,2048250
Left Behind,2014,16000000,13998282,17491957,15303584
The Bag Man,2014,0,48817,0,53369
The Amazing Spider-Man 2,2014,200000000,202853933,218649466,221769521
Step Up All In,2014,45000000,14904384,49196130,16294178
Muppets Most Wanted,2014,50000000,51183113,54662367,55955802
Cold in July,2014,0,414623,0,453285
Mr. Peabody & Sherman,2014,145000000,111506430,158520863,121904107
Dawn of the Planet of the Apes,2014,170000000,208545589,185852046,227991908
Moms' Night Out,2014,5000000,10429707,5466237,11402249
Mommy,2014,0,3492754,0,3818444
Still Alice,2014,5000000,18754371,5466237,20503166
St. Vincent,2014,13000000,44134898,14212215,48250359
The Best of Me,2014,26000000,26761283,28424431,29256701
God's Not Dead,2014,2000000,60755732,2186495,66421042
God's Pocket,2014,1000000,104401,1093247,114136
Pompeya,2014,80000000,23219748,87459786,25384928
The Book of Life,2014,50000000,50151543,54662367,54828040
Fury,2014,68000000,85817906,74340818,93820197
Penguins of Madagascar,2014,132000000,83348920,144308648,91120984
Sin City: A Dame to Kill For,2014,65000000,13757804,71061076,15040682
Frank,2014,0,644906,0,705042
Ouija,2014,5000000,50856010,5466237,55598197
Non-Stop,2014,50000000,92168600,54662367,100763076
Fortaleza prohibida,2014,28000000,20285518,30610925,22177088
Noah,2014,125000000,101200044,136655916,110636678
Tal vez es para siempre,2014,0,14893,0,16282
Foxcatcher,2014,24000000,12096300,26237936,13224248
Tammy,2014,20000000,84525432,21864947,92407203
No Good Deed,2014,13200000,52543632,14430865,57443185
Fuerza mayor,2014,0,1358561,0,1485243
Nightcrawler,2014,8500000,32381218,9292602,35400680
Night at the Museum: Secret of the Tomb,2014,127000000,113746621,138842411,124353190
Cooties,2014,0,55749,0,60947
Pawn Sacrifice,2014,19000000,2436062,20771699,2663218
Neighbors,2014,18000000,150157400,19678452,164159177
Testament of Youth,2014,0,1822030,0,1991929
Need for Speed,2014,66000000,43577636,72154324,47641134
That Awkward Moment,2014,8000000,26049082,8745979,28478089
The Boxtrolls,2014,60000000,50837305,65594840,55577748
Exodus: Gods and Kings,2014,140000000,65014513,153054626,71076943
Gone Girl,2014,61000000,167767189,66688087,183411031
The Expendables 3,2014,90000000,39322544,98392260,42989266
Captain America: The Winter Soldier,2014,170000000,259766572,185852046,283989111
Love & Mercy,2014,10000000,12547189,10932473,13717181
Lost River,2014,2000000,43282,2186495,47318
Endless Love,2014,20000000,23393765,21864947,25575171
The Equalizer,2014,55000000,101530738,60128603,110998208
Locos por las nueces,2014,42000000,64251541,45916388,70242826
Camp X-Ray,2014,1000000,9837,1093247,10754
Heaven Is for Real,2014,12000000,91443253,13118968,99970092
Calvary,2014,0,3593460,0,3928541
Million Dollar Arm,2014,25000000,36447959,27331183,39846634
Heaven Knows What,2014,0,80015,0,87476
Life After Beth,2014,2400000,80315,2623794,87804
The Fault in Our Stars,2014,12000000,124872350,13118968,136516363
Let's Be Cops,2014,17000000,82390774,18585205,90073494
B�squeda implacable 3,2014,48000000,89256424,52475872,97579347
Enredos en Broadway,2014,0,88460,0,96709
